CoPurchase_Count,Product_A,Product_B
546,JUMBO BAG PINK POLKADOT,JUMBO BAG RED RETROSPOT
541,GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER 
530,ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED 
523,LUNCH BAG PINK POLKADOT,LUNCH BAG RED RETROSPOT
517,LUNCH BAG  BLACK SKULL.,LUNCH BAG RED RETROSPOT
468,WOODEN FRAME ANTIQUE WHITE ,WOODEN PICTURE FRAME WHITE FINISH
467,LUNCH BAG RED RETROSPOT,LUNCH BAG SPACEBOY DESIGN 
464,LUNCH BAG  BLACK SKULL.,LUNCH BAG PINK POLKADOT
463,GARDENERS KNEELING PAD CUP OF TEA ,GARDENERS KNEELING PAD KEEP CALM 
460,GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER
458,LUNCH BAG CARS BLUE,LUNCH BAG RED RETROSPOT
455,RED HANGING HEART T-LIGHT HOLDER,WHITE HANGING HEART T-LIGHT HOLDER
451,PAPER CHAIN KIT 50'S CHRISTMAS ,PAPER CHAIN KIT VINTAGE CHRISTMAS
450,LUNCH BAG RED RETROSPOT,LUNCH BAG SUKI DESIGN 
436,PINK REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER 
434,JUMBO BAG RED RETROSPOT,JUMBO STORAGE BAG SUKI
433,LUNCH BAG RED RETROSPOT,LUNCH BAG WOODLAND
427,LUNCH BAG CARS BLUE,LUNCH BAG PINK POLKADOT
425,JUMBO BAG RED RETROSPOT,LUNCH BAG RED RETROSPOT
424,DOLLY GIRL LUNCH BOX,SPACEBOY LUNCH BOX 
421,LUNCH BAG  BLACK SKULL.,LUNCH BAG CARS BLUE
420,REGENCY CAKESTAND 3 TIER,ROSES REGENCY TEACUP AND SAUCER 
418,LUNCH BAG  BLACK SKULL.,LUNCH BAG SPACEBOY DESIGN 
414,JUMBO BAG RED RETROSPOT,JUMBO BAG STRAWBERRY
409,LUNCH BAG  BLACK SKULL.,LUNCH BAG SUKI DESIGN 
407,HEART OF WICKER LARGE,HEART OF WICKER SMALL
405,LUNCH BAG SPACEBOY DESIGN ,LUNCH BAG WOODLAND
396,ALARM CLOCK BAKELIKE PINK,ALARM CLOCK BAKELIKE RED 
396,JUMBO BAG RED RETROSPOT,JUMBO SHOPPER VINTAGE RED PAISLEY
391,LUNCH BAG CARS BLUE,LUNCH BAG SPACEBOY DESIGN 
390,LUNCH BAG CARS BLUE,LUNCH BAG SUKI DESIGN 
389,PARTY BUNTING,SPOTTY BUNTING
389,LUNCH BAG APPLE DESIGN,LUNCH BAG RED RETROSPOT
378,LUNCH BAG SPACEBOY DESIGN ,LUNCH BAG SUKI DESIGN 
374,GREEN REGENCY TEACUP AND SAUCER,REGENCY CAKESTAND 3 TIER
367,LUNCH BAG PINK POLKADOT,LUNCH BAG SPACEBOY DESIGN 
362,JUMBO  BAG BAROQUE BLACK WHITE,JUMBO BAG RED RETROSPOT
362,LUNCH BAG CARS BLUE,LUNCH BAG WOODLAND
360,LUNCH BAG APPLE DESIGN,LUNCH BAG SUKI DESIGN 
358,LUNCH BAG PINK POLKADOT,LUNCH BAG SUKI DESIGN 
356,LUNCH BAG DOLLY GIRL DESIGN,LUNCH BAG SPACEBOY DESIGN 
351,JUMBO BAG APPLES,JUMBO BAG RED RETROSPOT
347,LUNCH BAG  BLACK SKULL.,LUNCH BAG WOODLAND
345,JUMBO BAG RED RETROSPOT,JUMBO BAG VINTAGE LEAF
343,ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE PINK
335,PACK OF 60 PINK PAISLEY CAKE CASES,PACK OF 72 RETROSPOT CAKE CASES
331,JUMBO BAG PINK VINTAGE PAISLEY,JUMBO BAG RED RETROSPOT
330,60 TEATIME FAIRY CAKE CASES,PACK OF 72 RETROSPOT CAKE CASES
322,CHARLOTTE BAG PINK POLKADOT,RED RETROSPOT CHARLOTTE BAG
320,LUNCH BAG  BLACK SKULL.,LUNCH BAG APPLE DESIGN
