StockCode,Description,Revenue
23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6
22423,REGENCY CAKESTAND 3 TIER,142264.75
85123A,WHITE HANGING HEART T-LIGHT HOLDER,100392.1
85099B,JUMBO BAG RED RETROSPOT,85040.54000000001
23166,MEDIUM CERAMIC TOP STORAGE JAR,81416.73000000001
47566,PARTY BUNTING,68785.23000000001
84879,ASSORTED COLOUR BIRD ORNAMENT,56413.03
23084,RABBIT NIGHT LIGHT,51251.24
79321,CHILLI LIGHTS,46265.11
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,42584.130000000005
22502,PICNIC BASKET WICKER 60 PIECES,39619.5
21137,BLACK RECORD COVER FRAME,39045.8
22386,JUMBO BAG PINK POLKADOT,37254.36
23284,DOORMAT KEEP CALM AND COME IN,35880.85
23298,SPOTTY BUNTING,35509.55
82484,WOOD BLACK BOARD ANT WHITE FINISH,34414.71
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,33298.3
22960,JAM MAKING SET WITH JARS,32616.22
85099F,JUMBO BAG STRAWBERRY,30569.32
22178,VICTORIAN GLASS HANGING T-LIGHT,28735.36
